,date,month,year,bu,Conformance CALC,System Outage (hrs),Unplanned out % CALC,Shrinkage % CALC,aht,Attrition %
191,2019-01-28,January,2019,RAM,0.955252964,0.0,4%,27%,844.1406933692359,0.02247191
192,2019-01-28,January,2019,RCS PHONES,#DIV/0!,0.0,10%,43%,,0.1
193,2019-01-28,January,2019,RIS,0.898874986,0.0,10%,27%,632.0,0.015873016
194,2019-01-28,January,2019,SCS,#DIV/0!,0.0,12%,36%,,
195,2019-01-28,January,2019,WISE,0.944328492,0.0,13%,26%,532.3852748901511,0.007194245
196,2019-01-29,January,2019,Client Transactions,0.743982193,0.0,2%,34%,264.97292780748666,0.042553191
197,2019-01-29,January,2019,Participant Transactions,0.893411518,0.0,3%,39%,520.5627830382873,0.033898305
198,2019-01-29,January,2019,RAM,0.920812616,0.0,11%,42%,922.3623503808487,0.02247191
199,2019-01-29,January,2019,RCS PHONES,#DIV/0!,0.0,5%,38%,,0.1
200,2019-01-29,January,2019,RIS,0.911681213,0.0,15%,36%,627.0,0.015873016
201,2019-01-29,January,2019,SCS,#DIV/0!,0.0,12%,47%,,
202,2019-01-29,January,2019,WISE,0.954025802,1.0,9%,25%,510.7448184818482,0.007194245
203,2019-01-30,January,2019,Client Transactions,0.805173622,0.0,7%,32%,350.25457376411055,0.042553191
204,2019-01-30,January,2019,Participant Transactions,0.82886094,0.0,3%,37%,511.0170305676856,0.033898305
205,2019-01-30,January,2019,RAM,0.969390288,0.0,8%,41%,857.3285151116951,0.02247191
206,2019-01-30,January,2019,RCS PHONES,#DIV/0!,0.0,17%,52%,,0.1
207,2019-01-30,January,2019,RIS,0.964191764,0.0,8%,34%,617.0,0.015873016
208,2019-01-30,January,2019,SCS,#DIV/0!,0.0,9%,44%,,
209,2019-01-30,January,2019,WISE,0.948131441,0.26666666699999997,8%,27%,515.6627750939346,0.007194245
210,2019-01-31,January,2019,Client Transactions,0.782369743,0.0,2%,29%,277.0908527131783,0.042553191
211,2019-01-31,January,2019,Participant Transactions,0.887612809,0.0,5%,35%,491.37848766680145,0.033898305
212,2019-01-31,January,2019,RAM,0.943356849,0.0,1%,36%,840.3574207893274,0.02247191
213,2019-01-31,January,2019,RCS PHONES,#DIV/0!,0.0,10%,43%,,0.1
