date,month,year,bu,Conformance %,System Outage (hrs),Unplanned out %,Shrinkage %,aht,Attrition %
2019-02-12,February,2019,WISE,0.939643234,0.0,0.12,31.0,514.8323158323159,0.00729927
2019-02-13,February,2019,Client Transactions,0.823338778,0.0,0.04,34.0,369.93875,0.041666667
2019-02-13,February,2019,Participant Transactions,0.8314246120000001,0.0,0.07,35.0,470.8066095471236,0.040816327
2019-02-13,February,2019,RAM,0.93832926,0.0,0.02,31.0,935.5087358684481,0.018867925
2019-02-13,February,2019,RCS PHONES,,0.0,0.08,39.0,,0.076923077
2019-02-13,February,2019,RIS,0.963419805,0.0,0.09,24.0,566.0,0.018518519
2019-02-13,February,2019,SCS,,0.0,0.05,36.0,,
2019-02-13,February,2019,WISE,0.9771016309999999,0.0,0.07,28.0,533.5927774515561,0.00729927
2019-02-14,February,2019,Client Transactions,0.8907484990000001,0.0,0.07,40.0,351.93628912071534,0.041666667
2019-02-14,February,2019,Participant Transactions,0.849274915,0.0,0.04,33.0,461.13992248062016,0.040816327
2019-02-14,February,2019,RAM,0.96083037,0.0,0.04,31.0,987.3772180881512,0.018867925
2019-02-14,February,2019,RCS PHONES,,0.0,0.05,39.0,,0.076923077
2019-02-14,February,2019,RIS,0.938506721,0.0,0.04,29.0,562.0,0.018518519
2019-02-14,February,2019,SCS,,0.0,0.05,36.0,,
2019-02-14,February,2019,WISE,0.96076538,0.0,0.1,31.0,532.160227664712,0.00729927
2019-02-15,February,2019,Client Transactions,0.814802702,0.0,0.04,36.0,290.14442355889724,0.041666667
2019-02-15,February,2019,Participant Transactions,0.829658346,0.0,0.06,24.0,448.2844190732035,0.040816327
2019-02-15,February,2019,RAM,0.8143457740000001,0.0,0.05,36.0,906.44892613934,0.018867925
2019-02-15,February,2019,RCS PHONES,,0.0,0.09,44.0,,0.076923077
2019-02-15,February,2019,RIS,0.9803930059999999,0.0,0.06,32.0,652.0,0.018518519
2019-02-15,February,2019,SCS,,0.0,0.07,36.0,,
2019-02-15,February,2019,WISE,0.941540677,0.0,0.12,35.0,535.2517899761336,0.00729927
2019-02-18,February,2019,Client Transactions,0.857973422,0.0,0.0,7.0,155.07155963302753,0.041666667
