ACTIVITY DATE,DIVISION,BUSINESS UNIT,BUSINESS LINE,Sum of TOTAL TIME - AHT (sec),Sum of TOTAL TIME - AHT - FORECAST (sec),Sum of VOLUME - RECEIVED,Sum of VOLUME - FORECAST,
8/28/2019,College Savings,CS - Intermediary,CS John Hancock,204984,,470,460,
8/28/2019,II Services and Operations,RIS,RIS,938183,,1487,1733,
8/28/2019,II Services and Operations,RCS PHONES,RCS PHONES,175337,,272,304,
8/28/2019,II Services and Operations,SCS,BRO,152040,,284,369,
8/28/2019,II Services and Operations,SCS,PSG,427908,,683,903,
8/28/2019,II Services and Operations,SCS,BRO-Complex,,,,,
8/29/2019,WISE,WISE,WISE Contractual,2545068,,4878,5177,
8/29/2019,College Savings,CS - Direct Sold,CS Alaska,32472,,70,74,
8/29/2019,College Savings,CS - Direct Sold,CS Maryland,139556,,279,332,
8/29/2019,College Savings,CS - Direct Sold,CS National,78792,,154,153,
8/29/2019,College Savings,CS - Intermediary,CS John Hancock,217566,,463,455,
8/29/2019,II Services and Operations,RIS,RIS,885263,,1463,1785,
8/29/2019,II Services and Operations,RCS PHONES,RCS PHONES,156860,,254,312,
8/29/2019,II Services and Operations,SCS,BRO,182868,,316,382,
8/29/2019,II Services and Operations,SCS,PSG,443950,,711,844,
8/29/2019,II Services and Operations,SCS,BRO-Complex,,,,,
8/30/2019,WISE,WISE,WISE Contractual,2588685,,4812,5175,
8/30/2019,College Savings,CS - Direct Sold,CS Alaska,25956,,57,57,
8/30/2019,College Savings,CS - Direct Sold,CS Maryland,125140,,271,325,
8/30/2019,College Savings,CS - Direct Sold,CS National,77256,,152,169,
8/30/2019,College Savings,CS - Intermediary,CS John Hancock,182512,,381,380,
8/30/2019,II Services and Operations,RIS,RIS,870185,,1443,1789,
8/30/2019,II Services and Operations,RCS PHONES,RCS PHONES,163319,,254,296,
8/30/2019,II Services and Operations,SCS,BRO,169074,,284,389,
8/30/2019,II Services and Operations,SCS,PSG,439992,,710,891,
8/30/2019,II Services and Operations,SCS,BRO-Complex,,,,,
8/31/2019,WISE,WISE,WISE Contractual,0,,0,0,
8/31/2019,College Savings,CS - Direct Sold,CS Alaska,0,,0,0,
8/31/2019,College Savings,CS - Direct Sold,CS Maryland,0,,0,0,
8/31/2019,College Savings,CS - Direct Sold,CS National,0,,0,0,
8/31/2019,College Savings,CS - Intermediary,CS John Hancock,0,,0,0,
8/31/2019,II Services and Operations,RIS,RIS,0,,0,0,
8/31/2019,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
8/31/2019,II Services and Operations,SCS,BRO,0,,0,0,
8/31/2019,II Services and Operations,SCS,PSG,0,,0,0,
9/1/2019,WISE,WISE,WISE Contractual,0,,0,0,
9/1/2019,College Savings,CS - Direct Sold,CS Alaska,0,,0,0,
9/1/2019,College Savings,CS - Direct Sold,CS Maryland,0,,0,0,
9/1/2019,College Savings,CS - Direct Sold,CS National,0,,0,0,
9/1/2019,College Savings,CS - Intermediary,CS John Hancock,0,,0,0,
9/1/2019,II Services and Operations,RIS,RIS,0,,0,0,
9/1/2019,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
9/1/2019,II Services and Operations,SCS,BRO,0,,0,0,
9/1/2019,II Services and Operations,SCS,PSG,0,,0,0,
9/2/2019,WISE,WISE,WISE Contractual,0,,0,0,
9/2/2019,College Savings,CS - Direct Sold,CS Alaska,0,,0,0,
9/2/2019,College Savings,CS - Direct Sold,CS Maryland,0,,0,0,
9/2/2019,College Savings,CS - Direct Sold,CS National,0,,0,0,
9/2/2019,College Savings,CS - Intermediary,CS John Hancock,0,,0,0,
9/2/2019,II Services and Operations,RIS,RIS,0,,0,0,
9/2/2019,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
9/2/2019,II Services and Operations,SCS,BRO,0,,0,0,
9/2/2019,II Services and Operations,SCS,PSG,0,,0,0,
9/3/2019,WISE,WISE,WISE Contractual,3946176,,7375,7385,
9/3/2019,College Savings,CS - Direct Sold,CS Alaska,63983,,125,92,
9/3/2019,College Savings,CS - Direct Sold,CS Maryland,208242,,428,447,
9/3/2019,College Savings,CS - Direct Sold,CS National,97412,,233,223,
9/3/2019,College Savings,CS - Intermediary,CS John Hancock,228285,,522,561,
9/3/2019,II Services and Operations,RIS,RIS,1375591,,2129,2502,
9/3/2019,II Services and Operations,RCS PHONES,RCS PHONES,214102,,388,398,
9/3/2019,II Services and Operations,SCS,BRO,247200,,422,410,
9/3/2019,II Services and Operations,SCS,PSG,672867,,1068,1240,
9/3/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/4/2019,WISE,WISE,WISE Contractual,3242084,,5943,6033,
9/4/2019,College Savings,CS - Direct Sold,CS Alaska,57684,,93,81,
9/4/2019,College Savings,CS - Direct Sold,CS Maryland,167872,,347,305,
9/4/2019,College Savings,CS - Direct Sold,CS National,92016,,167,179,
9/4/2019,College Savings,CS - Intermediary,CS John Hancock,241077,,502,490,
9/4/2019,II Services and Operations,RIS,RIS,1057973,,1695,1826,
9/4/2019,II Services and Operations,RCS PHONES,RCS PHONES,175526,,315,323,
9/4/2019,II Services and Operations,SCS,BRO,224848,,380,392,
9/4/2019,II Services and Operations,SCS,PSG,569874,,950,913,
9/4/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/5/2019,WISE,WISE,WISE Contractual,3028635,,5522,5618,
9/5/2019,College Savings,CS - Direct Sold,CS Alaska,47232,,73,72,
9/5/2019,College Savings,CS - Direct Sold,CS Maryland,135300,,280,275,
9/5/2019,College Savings,CS - Direct Sold,CS National,92826,,164,149,
9/5/2019,College Savings,CS - Intermediary,CS John Hancock,212040,,467,446,
9/5/2019,II Services and Operations,RIS,RIS,1043117,,1603,1866,
9/5/2019,II Services and Operations,RCS PHONES,RCS PHONES,177878,,311,320,
9/5/2019,II Services and Operations,SCS,BRO,241056,,383,376,
9/5/2019,II Services and Operations,SCS,PSG,590274,,945,853,
9/5/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/6/2019,WISE,WISE,WISE Contractual,3057171,,5505,5718,
9/6/2019,College Savings,CS - Direct Sold,CS Alaska,42720,,80,72,
9/6/2019,College Savings,CS - Direct Sold,CS Maryland,164115,,318,283,
9/6/2019,College Savings,CS - Direct Sold,CS National,71208,,144,144,
9/6/2019,College Savings,CS - Intermediary,CS John Hancock,178560,,378,435,
9/6/2019,II Services and Operations,RIS,RIS,1064366,,1748,1849,
9/6/2019,II Services and Operations,RCS PHONES,RCS PHONES,165252,,288,327,
9/6/2019,II Services and Operations,SCS,BRO,209922,,362,390,
9/6/2019,II Services and Operations,SCS,PSG,598344,,958,899,
9/6/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/7/2019,WISE,WISE,WISE Contractual,0,,0,0,
9/7/2019,College Savings,CS - Direct Sold,CS Alaska,0,,0,0,
9/7/2019,College Savings,CS - Direct Sold,CS Maryland,0,,0,0,
9/7/2019,College Savings,CS - Direct Sold,CS National,0,,0,0,
9/7/2019,College Savings,CS - Intermediary,CS John Hancock,0,,0,0,
9/7/2019,II Services and Operations,RIS,RIS,0,,0,0,
9/7/2019,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
9/7/2019,II Services and Operations,SCS,BRO,0,,0,0,
9/7/2019,II Services and Operations,SCS,PSG,0,,0,0,
9/8/2019,WISE,WISE,WISE Contractual,0,,0,0,
9/8/2019,College Savings,CS - Direct Sold,CS Alaska,0,,0,0,
9/8/2019,College Savings,CS - Direct Sold,CS Maryland,0,,0,0,
9/8/2019,College Savings,CS - Direct Sold,CS National,0,,0,0,
9/8/2019,College Savings,CS - Intermediary,CS John Hancock,0,,0,0,
9/8/2019,II Services and Operations,RIS,RIS,0,,0,0,
9/8/2019,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
9/8/2019,II Services and Operations,SCS,BRO,0,,0,0,
9/8/2019,II Services and Operations,SCS,PSG,0,,0,0,
9/9/2019,WISE,WISE,WISE Contractual,3632736,,7901,6929,
9/9/2019,College Savings,CS - Direct Sold,CS Alaska,64630,,118,106,
9/9/2019,College Savings,CS - Direct Sold,CS Maryland,203274,,429,392,
9/9/2019,College Savings,CS - Direct Sold,CS National,110088,,210,194,
9/9/2019,College Savings,CS - Intermediary,CS John Hancock,234520,,456,460,
9/9/2019,II Services and Operations,RIS,RIS,1384439,,2308,2348,
9/9/2019,II Services and Operations,RCS PHONES,RCS PHONES,204896,,356,381,
9/9/2019,II Services and Operations,SCS,BRO,338256,,571,418,
9/9/2019,II Services and Operations,SCS,PSG,789264,,1196,1228,
9/9/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/10/2019,WISE,WISE,WISE Contractual,3142470,,5837,5607,
9/10/2019,College Savings,CS - Direct Sold,CS Alaska,39831,,72,71,
9/10/2019,College Savings,CS - Direct Sold,CS Maryland,122821,,263,271,
9/10/2019,College Savings,CS - Direct Sold,CS National,87010,,156,164,
9/10/2019,College Savings,CS - Intermediary,CS John Hancock,203215,,421,422,
9/10/2019,II Services and Operations,RIS,RIS,1104041,,1711,1865,
9/10/2019,II Services and Operations,RCS PHONES,RCS PHONES,176525,,334,317,
9/10/2019,II Services and Operations,SCS,BRO,271329,,462,399,
9/10/2019,II Services and Operations,SCS,PSG,583844,,934,1215,
9/10/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/11/2019,WISE,WISE,WISE Contractual,2989280,,5559,5340,
9/11/2019,College Savings,CS - Direct Sold,CS Alaska,42120,,73,67,
9/11/2019,College Savings,CS - Direct Sold,CS Maryland,104328,,207,250,
9/11/2019,College Savings,CS - Direct Sold,CS National,67580,,124,137,
9/11/2019,College Savings,CS - Intermediary,CS John Hancock,154577,,334,351,
9/11/2019,II Services and Operations,RIS,RIS,1067503,,1682,1800,
9/11/2019,II Services and Operations,RCS PHONES,RCS PHONES,178464,,325,307,
9/11/2019,II Services and Operations,SCS,BRO,248213,,453,384,
9/11/2019,II Services and Operations,SCS,PSG,549072,,886,994,
9/11/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/12/2019,WISE,WISE,WISE Contractual,2864785,,5365,4970,
9/12/2019,College Savings,CS - Direct Sold,CS Alaska,24750,,45,64,
9/12/2019,College Savings,CS - Direct Sold,CS Maryland,101592,,205,217,
9/12/2019,College Savings,CS - Direct Sold,CS National,71858,,124,123,
9/12/2019,College Savings,CS - Intermediary,CS John Hancock,150920,,353,347,
9/12/2019,II Services and Operations,RIS,RIS,1010479,,1611,1785,
9/12/2019,II Services and Operations,RCS PHONES,RCS PHONES,181440,,300,302,
9/12/2019,II Services and Operations,SCS,BRO,235760,,474,398,
9/12/2019,II Services and Operations,SCS,PSG,603850,,989,836,
9/12/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/13/2019,WISE,WISE,WISE Contractual,2787676,,5134,4971,
9/13/2019,College Savings,CS - Direct Sold,CS Alaska,28614,,57,53,
9/13/2019,College Savings,CS - Direct Sold,CS Maryland,99267,,203,211,
9/13/2019,College Savings,CS - Direct Sold,CS National,60051,,111,122,
9/13/2019,College Savings,CS - Intermediary,CS John Hancock,155788,,316,285,
9/13/2019,II Services and Operations,RIS,RIS,935910,,1433,1785,
9/13/2019,II Services and Operations,RCS PHONES,RCS PHONES,175656,,331,303,
9/13/2019,II Services and Operations,SCS,BRO,233783,,418,404,
9/13/2019,II Services and Operations,SCS,PSG,519332,,824,881,
9/13/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/14/2019,WISE,WISE,WISE Contractual,,,0,0,
9/14/2019,College Savings,CS - Direct Sold,CS Alaska,,,0,0,
9/14/2019,College Savings,CS - Direct Sold,CS Maryland,,,0,0,
9/14/2019,College Savings,CS - Direct Sold,CS National,,,0,0,
9/14/2019,College Savings,CS - Intermediary,CS John Hancock,,,0,0,
9/14/2019,II Services and Operations,RIS,RIS,0,,0,0,
9/14/2019,II Services and Operations,RCS PHONES,RCS PHONES,,,0,0,
9/14/2019,II Services and Operations,SCS,BRO,,,0,0,
9/14/2019,II Services and Operations,SCS,PSG,,,0,0,
9/15/2019,WISE,WISE,WISE Contractual,,,0,0,
9/15/2019,College Savings,CS - Direct Sold,CS Alaska,,,0,0,
9/15/2019,College Savings,CS - Direct Sold,CS Maryland,,,0,0,
9/15/2019,College Savings,CS - Direct Sold,CS National,,,0,0,
9/15/2019,College Savings,CS - Intermediary,CS John Hancock,,,0,0,
9/15/2019,II Services and Operations,RIS,RIS,0,,0,0,
9/15/2019,II Services and Operations,RCS PHONES,RCS PHONES,,,0,0,
9/15/2019,II Services and Operations,SCS,BRO,,,0,0,
9/15/2019,II Services and Operations,SCS,PSG,,,0,0,
9/16/2019,WISE,WISE,WISE Contractual,3677055,,6956,6896,
9/16/2019,College Savings,CS - Direct Sold,CS Alaska,38433,,70,84,
9/16/2019,College Savings,CS - Direct Sold,CS Maryland,156349,,289,346,
9/16/2019,College Savings,CS - Direct Sold,CS National,68400,,144,166,
9/16/2019,College Savings,CS - Intermediary,CS John Hancock,158544,,367,448,
9/16/2019,II Services and Operations,RIS,RIS,1149779,,1796,2171,
9/16/2019,II Services and Operations,RCS PHONES,RCS PHONES,241020,,400,418,
9/16/2019,II Services and Operations,SCS,BRO,264880,,433,450,
9/16/2019,II Services and Operations,SCS,PSG,657150,,1020,1185,
9/16/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/17/2019,WISE,WISE,WISE Contractual,3098556,,5686,5597,
9/17/2019,College Savings,CS - Direct Sold,CS Alaska,27324,,54,56,
9/17/2019,College Savings,CS - Direct Sold,CS Maryland,141365,,248,242,
9/17/2019,College Savings,CS - Direct Sold,CS National,57584,,122,139,
9/17/2019,College Savings,CS - Intermediary,CS John Hancock,171687,,382,411,
9/17/2019,II Services and Operations,RIS,RIS,996381,,1600,1729,
9/17/2019,II Services and Operations,RCS PHONES,RCS PHONES,196524,,322,351,
9/17/2019,II Services and Operations,SCS,BRO,193545,,351,359,
9/17/2019,II Services and Operations,SCS,PSG,530566,,870,980,
9/17/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/18/2019,WISE,WISE,WISE Contractual,2795717,,5127,5227,
9/18/2019,College Savings,CS - Direct Sold,CS Alaska,26784,,50,52,
9/18/2019,College Savings,CS - Direct Sold,CS Maryland,127309,,213,222,
9/18/2019,College Savings,CS - Direct Sold,CS National,53116,,99,117,
9/18/2019,College Savings,CS - Intermediary,CS John Hancock,147678,,304,343,
9/18/2019,II Services and Operations,RIS,RIS,943365,,1503,1636,
9/18/2019,II Services and Operations,RCS PHONES,RCS PHONES,158331,,267,321,
9/18/2019,II Services and Operations,SCS,BRO,183618,,326,338,
9/18/2019,II Services and Operations,SCS,PSG,425940,,701,894,
9/18/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/19/2019,WISE,WISE,WISE Contractual,2436906,,4572,4989,
9/19/2019,College Savings,CS - Direct Sold,CS Alaska,15834,,29,51,
9/19/2019,College Savings,CS - Direct Sold,CS Maryland,97614,,189,194,
9/19/2019,College Savings,CS - Direct Sold,CS National,51895,,97,106,
9/19/2019,College Savings,CS - Intermediary,CS John Hancock,128180,,268,337,
9/19/2019,II Services and Operations,RIS,RIS,955859,,1384,1554,
9/19/2019,II Services and Operations,RCS PHONES,RCS PHONES,150912,,265,308,
9/19/2019,II Services and Operations,SCS,BRO,186438,,339,317,
9/19/2019,II Services and Operations,SCS,PSG,447557,,678,836,
9/19/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/20/2019,WISE,WISE,WISE Contractual,2496039,,4717,4936,
9/20/2019,College Savings,CS - Direct Sold,CS Alaska,23049,,39,42,
9/20/2019,College Savings,CS - Direct Sold,CS Maryland,107420,,208,192,
9/20/2019,College Savings,CS - Direct Sold,CS National,72216,,132,104,
9/20/2019,College Savings,CS - Intermediary,CS John Hancock,122960,,277,278,
9/20/2019,II Services and Operations,RIS,RIS,900441,,1385,1567,
9/20/2019,II Services and Operations,RCS PHONES,RCS PHONES,124550,,236,301,
9/20/2019,II Services and Operations,SCS,BRO,193844,,325,339,
9/20/2019,II Services and Operations,SCS,PSG,432435,,684,881,
9/20/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/21/2019,WISE,WISE,WISE Contractual,0,,0,0,
9/21/2019,College Savings,CS - Direct Sold,CS Alaska,0,,0,0,
9/21/2019,College Savings,CS - Direct Sold,CS Maryland,0,,0,0,
9/21/2019,College Savings,CS - Direct Sold,CS National,0,,0,0,
9/21/2019,College Savings,CS - Intermediary,CS John Hancock,0,,0,0,
9/21/2019,II Services and Operations,RIS,RIS,0,,0,0,
9/21/2019,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
9/21/2019,II Services and Operations,SCS,BRO,0,,0,0,
9/21/2019,II Services and Operations,SCS,PSG,0,,0,0,
9/21/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/22/2019,WISE,WISE,WISE Contractual,0,,0,0,
9/22/2019,College Savings,CS - Direct Sold,CS Alaska,0,,0,0,
9/22/2019,College Savings,CS - Direct Sold,CS Maryland,0,,0,0,
9/22/2019,College Savings,CS - Direct Sold,CS National,0,,0,0,
9/22/2019,College Savings,CS - Intermediary,CS John Hancock,0,,0,0,
9/22/2019,II Services and Operations,RIS,RIS,0,,0,0,
9/22/2019,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
9/22/2019,II Services and Operations,SCS,BRO,0,,0,0,
9/22/2019,II Services and Operations,SCS,PSG,0,,0,0,
9/23/2019,WISE,WISE,WISE Contractual,3508482,,6370,6865,
9/23/2019,College Savings,CS - Direct Sold,CS Alaska,23460,,46,86,
9/23/2019,College Savings,CS - Direct Sold,CS Maryland,142349,,284,339,
9/23/2019,College Savings,CS - Direct Sold,CS National,72704,,143,166,
9/23/2019,College Savings,CS - Intermediary,CS John Hancock,185840,,411,432,
9/23/2019,II Services and Operations,RIS,RIS,1176604,,1853,2141,
9/23/2019,II Services and Operations,RCS PHONES,RCS PHONES,172579,,321,410,
9/23/2019,II Services and Operations,SCS,BRO,237120,,395,436,
9/23/2019,II Services and Operations,SCS,PSG,636888,,961,1121,
9/23/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/24/2019,WISE,WISE,WISE Contractual,2789885,,5096,5607,
9/24/2019,College Savings,CS - Direct Sold,CS Alaska,24242,,36,53,
9/24/2019,College Savings,CS - Direct Sold,CS Maryland,105324,,202,212,
9/24/2019,College Savings,CS - Direct Sold,CS National,52416,,107,123,
9/24/2019,College Savings,CS - Intermediary,CS John Hancock,162590,,362,398,
9/24/2019,II Services and Operations,RIS,RIS,987932,,1479,1714,
9/24/2019,II Services and Operations,RCS PHONES,RCS PHONES,159892,,285,340,
9/24/2019,II Services and Operations,SCS,BRO,176220,,335,352,
9/24/2019,II Services and Operations,SCS,PSG,453894,,710,878,
9/24/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/25/2019,WISE,WISE,WISE Contractual,2485022,,4665,5530,
9/25/2019,College Savings,CS - Direct Sold,CS Alaska,16566,,33,53,
9/25/2019,College Savings,CS - Direct Sold,CS Maryland,117012,,199,166,
9/25/2019,College Savings,CS - Direct Sold,CS National,55005,,96,98,
9/25/2019,College Savings,CS - Intermediary,CS John Hancock,142120,,325,317,
9/25/2019,II Services and Operations,RIS,RIS,873472,,1364,1612,
9/25/2019,II Services and Operations,RCS PHONES,RCS PHONES,174895,,274,318,
9/25/2019,II Services and Operations,SCS,BRO,194616,,319,335,
9/25/2019,II Services and Operations,SCS,PSG,413224,,635,744,
9/25/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/26/2019,WISE,WISE,WISE Contractual,2389650,,4488,5215,
9/26/2019,College Savings,CS - Direct Sold,CS Alaska,19210,,34,33,
9/26/2019,College Savings,CS - Direct Sold,CS Maryland,109632,,193,165,
9/26/2019,College Savings,CS - Direct Sold,CS National,50998,,87,98,
9/26/2019,College Savings,CS - Intermediary,CS John Hancock,128986,,292,334,
9/26/2019,II Services and Operations,RIS,RIS,838535,,1312,1491,
9/26/2019,II Services and Operations,RCS PHONES,RCS PHONES,141764,,251,298,
9/26/2019,II Services and Operations,SCS,BRO,167562,,263,314,
9/26/2019,II Services and Operations,SCS,PSG,427616,,647,749,
9/26/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/27/2019,WISE,WISE,WISE Contractual,2382480,,4429,5137,
9/27/2019,College Savings,CS - Direct Sold,CS Alaska,22095,,45,42,
9/27/2019,College Savings,CS - Direct Sold,CS Maryland,102114,,185,165,
9/27/2019,College Savings,CS - Direct Sold,CS National,56341,,103,88,
9/27/2019,College Savings,CS - Intermediary,CS John Hancock,105672,,241,299,
9/27/2019,II Services and Operations,RIS,RIS,930251,,1420,1545,
9/27/2019,II Services and Operations,RCS PHONES,RCS PHONES,139476,,245,292,
9/27/2019,II Services and Operations,SCS,BRO,171781,,290,331,
9/27/2019,II Services and Operations,SCS,PSG,448140,,690,811,
9/27/2019,II Services and Operations,SCS,BRO-Complex,,,,,
9/28/2019,WISE,WISE,WISE Contractual,0,,0,0,
9/28/2019,College Savings,CS - Direct Sold,CS Alaska,0,,0,0,
9/28/2019,College Savings,CS - Direct Sold,CS Maryland,0,,0,0,
9/28/2019,College Savings,CS - Direct Sold,CS National,0,,0,0,
9/28/2019,College Savings,CS - Intermediary,CS John Hancock,0,,0,0,
9/28/2019,II Services and Operations,RIS,RIS,0,,0,0,
9/28/2019,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
9/28/2019,II Services and Operations,SCS,BRO,0,,0,0,
9/28/2019,II Services and Operations,SCS,PSG,0,,0,0,
9/29/2019,WISE,WISE,WISE Contractual,0,,0,0,
9/29/2019,College Savings,CS - Direct Sold,CS Alaska,0,,0,0,
9/29/2019,College Savings,CS - Direct Sold,CS Maryland,0,,0,0,
9/29/2019,College Savings,CS - Direct Sold,CS National,0,,0,0,
9/29/2019,College Savings,CS - Intermediary,CS John Hancock,0,,0,0,
9/29/2019,II Services and Operations,RIS,RIS,0,,0,0,
9/29/2019,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
9/29/2019,II Services and Operations,SCS,BRO,0,,0,0,
9/29/2019,II Services and Operations,SCS,PSG,0,,0,0,
9/30/2019,WISE,WISE,WISE Contractual,3376820,,6270,6501,
9/30/2019,College Savings,CS - Direct Sold,CS Alaska,30264,,53,126,
9/30/2019,College Savings,CS - Direct Sold,CS Maryland,157035,,287,298,
9/30/2019,College Savings,CS - Direct Sold,CS National,59902,,125,148,
9/30/2019,College Savings,CS - Intermediary,CS John Hancock,161226,,318,392,
9/30/2019,II Services and Operations,RIS,RIS,1127253,,1709,1997,
9/30/2019,II Services and Operations,RCS PHONES,RCS PHONES,172067,,337,427,
9/30/2019,II Services and Operations,SCS,BRO,232042,,364,417,
9/30/2019,II Services and Operations,SCS,PSG,588268,,859,996,
9/30/2019,II Services and Operations,SCS,BRO-Complex,,,,,
10/1/2019,WISE,WISE,WISE Contractual,2961266,,5543,5578,
10/1/2019,College Savings,CS - Direct Sold,CS Alaska,20900,,46,97,
10/1/2019,College Savings,CS - Direct Sold,CS Maryland,125883,,215,256,
10/1/2019,College Savings,CS - Direct Sold,CS National,59202,,118,125,
10/1/2019,College Savings,CS - Intermediary,CS John Hancock,112681,,290,361,
10/1/2019,II Services and Operations,RIS,RIS,1034529,,1631,1901,
10/1/2019,II Services and Operations,RCS PHONES,RCS PHONES,169360,,292,412,
10/1/2019,II Services and Operations,SCS,BRO,217899,,347,389,
10/1/2019,II Services and Operations,SCS,PSG,552600,,932,1006,
10/1/2019,II Services and Operations,SCS,BRO-Complex,,,,,
10/2/2019,WISE,WISE,WISE Contractual,2690160,,5132,4992,
10/2/2019,College Savings,CS - Direct Sold,CS Alaska,44530,,78,90,
10/2/2019,College Savings,CS - Direct Sold,CS Maryland,107328,,217,219,
10/2/2019,College Savings,CS - Direct Sold,CS National,65436,,127,102,
10/2/2019,College Savings,CS - Intermediary,CS John Hancock,129472,,293,287,
10/2/2019,II Services and Operations,RIS,RIS,937822,,1503,1826,
10/2/2019,II Services and Operations,RCS PHONES,RCS PHONES,190021,,313,392,
10/2/2019,II Services and Operations,SCS,BRO,164720,,298,397,
10/2/2019,II Services and Operations,SCS,PSG,492239,,811,981,
10/2/2019,II Services and Operations,SCS,BRO-Complex,,,,,
10/3/2019,WISE,WISE,WISE Contractual,2519067,,4722,4720,
10/3/2019,College Savings,CS - Direct Sold,CS Alaska,46560,,96,52,
10/3/2019,College Savings,CS - Direct Sold,CS Maryland,101244,,180,195,
10/3/2019,College Savings,CS - Direct Sold,CS National,56465,,115,99,
10/3/2019,College Savings,CS - Intermediary,CS John Hancock,132418,,298,304,
10/3/2019,II Services and Operations,RIS,RIS,836910,,1311,1689,
10/3/2019,II Services and Operations,RCS PHONES,RCS PHONES,169260,,264,372,
10/3/2019,II Services and Operations,SCS,BRO,173448,,301,351,
10/3/2019,II Services and Operations,SCS,PSG,451710,,724,895,
10/3/2019,II Services and Operations,SCS,BRO-Complex,,,,,
10/4/2019,WISE,WISE,WISE Contractual,2448700,,4728,4830,
10/4/2019,College Savings,CS - Direct Sold,CS Alaska,29638,,59,70,
10/4/2019,College Savings,CS - Direct Sold,CS Maryland,128667,,234,215,
10/4/2019,College Savings,CS - Direct Sold,CS National,47790,,92,136,
10/4/2019,College Savings,CS - Intermediary,CS John Hancock,107226,,223,271,
10/4/2019,II Services and Operations,RIS,RIS,941657,,1472,1794,
10/4/2019,II Services and Operations,RCS PHONES,RCS PHONES,166320,,272,364,
10/4/2019,II Services and Operations,SCS,BRO,180375,,326,366,
10/4/2019,II Services and Operations,SCS,PSG,502040,,779,923,
10/4/2019,II Services and Operations,SCS,BRO-Complex,,,,,
10/5/2019,WISE,WISE,WISE Contractual,,,0,0,
10/5/2019,College Savings,CS - Direct Sold,CS Alaska,,,0,0,
10/5/2019,College Savings,CS - Direct Sold,CS Maryland,,,0,0,
10/5/2019,College Savings,CS - Direct Sold,CS National,,,0,0,
10/5/2019,College Savings,CS - Intermediary,CS John Hancock,,,0,0,
10/5/2019,II Services and Operations,RIS,RIS,0,,0,0,
10/5/2019,II Services and Operations,RCS PHONES,RCS PHONES,,,0,0,
10/5/2019,II Services and Operations,SCS,BRO,,,0,0,
10/5/2019,II Services and Operations,SCS,PSG,,,0,0,
10/6/2019,WISE,WISE,WISE Contractual,,,0,0,
10/6/2019,College Savings,CS - Direct Sold,CS Alaska,,,0,0,
10/6/2019,College Savings,CS - Direct Sold,CS Maryland,,,0,0,
10/6/2019,College Savings,CS - Direct Sold,CS National,,,0,0,
10/6/2019,College Savings,CS - Intermediary,CS John Hancock,,,0,0,
10/6/2019,II Services and Operations,RIS,RIS,0,,0,0,
10/6/2019,II Services and Operations,RCS PHONES,RCS PHONES,,,0,0,
10/6/2019,II Services and Operations,SCS,BRO,,,0,0,
10/6/2019,II Services and Operations,SCS,PSG,,,0,0,
10/7/2019,WISE,WISE,WISE Contractual,3473220,,6550,6366,
10/7/2019,College Savings,CS - Direct Sold,CS Alaska,30592,,65,121,
10/7/2019,College Savings,CS - Direct Sold,CS Maryland,215429,,374,370,
10/7/2019,College Savings,CS - Direct Sold,CS National,74292,,123,198,
10/7/2019,College Savings,CS - Intermediary,CS John Hancock,139084,,322,408,
10/7/2019,II Services and Operations,RIS,RIS,1198503,,1888,2250,
10/7/2019,II Services and Operations,RCS PHONES,RCS PHONES,223860,,396,381,
10/7/2019,II Services and Operations,SCS,BRO,256410,,416,438,
10/7/2019,II Services and Operations,SCS,PSG,711531,,1100,1283,
10/7/2019,II Services and Operations,SCS,BRO-Complex,,,,,
10/8/2019,WISE,WISE,WISE Contractual,2728494,,5300,5451,
10/8/2019,College Savings,CS - Direct Sold,CS Alaska,53133,,90,95,
