ACTIVITY DATE,DIVISION,BUSINESS UNIT,BUSINESS LINE,Sum of TOTAL TIME - AHT (sec),Sum of TOTAL TIME - AHT - FORECAST (sec),Sum of VOLUME - RECEIVED,Sum of VOLUME - FORECAST,
2/4/2016,II Services and Operations,RCS PHONES,RCS PHONES,383003,,607,655,
2/4/2016,II Services and Operations,SCS,BRO,312304,,396,510,
2/4/2016,II Services and Operations,SCS,PSG,689923,,893,944,
2/5/2016,WISE,WISE,WISE Contractual,3650662,,5418,6188,
2/5/2016,College Savings,College Savings,CS Alaska,41611,,81,56,
2/5/2016,College Savings,College Savings,CS John Hancock,134933,,356,389,
2/5/2016,College Savings,College Savings,CS Maryland,111114,,267,308,
2/5/2016,College Savings,College Savings,CS National,69850,,125,152,
2/5/2016,II Services and Operations,RIS,RIS,2090013,,3446,3274,
2/5/2016,II Services and Operations,RCS PHONES,RCS PHONES,352976,,624,659,
2/5/2016,II Services and Operations,SCS,BRO,309764,,489,524,
2/5/2016,II Services and Operations,SCS,PSG,706200,,976,974,
2/6/2016,WISE,WISE,WISE Contractual,0,,0,0,
2/6/2016,College Savings,College Savings,CS Alaska,0,,0,0,
2/6/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
2/6/2016,College Savings,College Savings,CS Maryland,0,,0,0,
2/6/2016,College Savings,College Savings,CS National,0,,0,0,
2/6/2016,II Services and Operations,RIS,RIS,516460,,944,1032,
2/6/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
2/6/2016,II Services and Operations,SCS,BRO,0,,0,0,
2/6/2016,II Services and Operations,SCS,PSG,0,,0,0,
2/7/2016,WISE,WISE,WISE Contractual,0,,0,0,
2/7/2016,College Savings,College Savings,CS Alaska,0,,0,0,
2/7/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
2/7/2016,College Savings,College Savings,CS Maryland,0,,0,0,
2/7/2016,College Savings,College Savings,CS National,0,,0,0,
2/7/2016,II Services and Operations,RIS,RIS,0,,0,0,
2/7/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
2/7/2016,II Services and Operations,SCS,BRO,0,,0,0,
2/7/2016,II Services and Operations,SCS,PSG,0,,0,0,
2/8/2016,WISE,WISE,WISE Contractual,4755370,,7073,8630,
2/8/2016,College Savings,College Savings,CS Alaska,25013,,60,75,
2/8/2016,College Savings,College Savings,CS John Hancock,193360,,423,512,
2/8/2016,College Savings,College Savings,CS Maryland,179701,,361,399,
2/8/2016,College Savings,College Savings,CS National,100654,,190,198,
2/8/2016,II Services and Operations,RIS,RIS,2835715,,4464,4346,
2/8/2016,II Services and Operations,RCS PHONES,RCS PHONES,525318,,802,817,
2/8/2016,II Services and Operations,SCS,BRO,407815,,650,621,
2/8/2016,II Services and Operations,SCS,PSG,907001,,1290,1245,
2/9/2016,WISE,WISE,WISE Contractual,3962159,,5854,6833,
2/9/2016,College Savings,College Savings,CS Alaska,23426,,46,59,
2/9/2016,College Savings,College Savings,CS John Hancock,172289,,360,407,
2/9/2016,College Savings,College Savings,CS Maryland,152092,,336,317,
2/9/2016,College Savings,College Savings,CS National,89361,,163,157,
2/9/2016,II Services and Operations,RIS,RIS,2352926,,3621,3836,
2/9/2016,II Services and Operations,RCS PHONES,RCS PHONES,416826,,704,750,
2/9/2016,II Services and Operations,SCS,BRO,321883,,488,522,
2/9/2016,II Services and Operations,SCS,PSG,842686,,1068,1117,
2/10/2016,WISE,WISE,WISE Contractual,3789561,,5690,6570,
2/10/2016,College Savings,College Savings,CS Alaska,25705,,47,52,
2/10/2016,College Savings,College Savings,CS John Hancock,165312,,377,359,
2/10/2016,College Savings,College Savings,CS Maryland,127445,,283,280,
2/10/2016,College Savings,College Savings,CS National,61862,,130,139,
2/10/2016,II Services and Operations,RIS,RIS,1995333,,3234,3367,
2/10/2016,II Services and Operations,RCS PHONES,RCS PHONES,388893,,623,706,
2/10/2016,II Services and Operations,SCS,BRO,290856,,401,513,
2/10/2016,II Services and Operations,SCS,PSG,657498,,890,994,
2/11/2016,WISE,WISE,WISE Contractual,3465890,,5261,6220,
2/11/2016,College Savings,College Savings,CS Alaska,34142,,61,52,
2/11/2016,College Savings,College Savings,CS John Hancock,144704,,365,355,
2/11/2016,College Savings,College Savings,CS Maryland,134974,,283,276,
2/11/2016,College Savings,College Savings,CS National,67138,,121,137,
2/11/2016,II Services and Operations,RIS,RIS,1944491,,3115,3418,
2/11/2016,II Services and Operations,RCS PHONES,RCS PHONES,366232,,624,578,
2/11/2016,II Services and Operations,SCS,BRO,337252,,526,489,
2/11/2016,II Services and Operations,SCS,PSG,731341,,998,957,
2/12/2016,WISE,WISE,WISE Contractual,3548765,,5083,6247,
2/12/2016,College Savings,College Savings,CS Alaska,20425,,37,49,
2/12/2016,College Savings,College Savings,CS John Hancock,126716,,315,334,
2/12/2016,College Savings,College Savings,CS Maryland,110374,,249,260,
2/12/2016,College Savings,College Savings,CS National,61784,,120,129,
2/12/2016,II Services and Operations,RIS,RIS,2209937,,3294,3557,
2/12/2016,II Services and Operations,RCS PHONES,RCS PHONES,369640,,634,619,
2/12/2016,II Services and Operations,SCS,BRO,373111,,552,512,
2/12/2016,II Services and Operations,SCS,PSG,683613,,920,989,
2/13/2016,WISE,WISE,WISE Contractual,0,,0,0,
2/13/2016,College Savings,College Savings,CS Alaska,0,,0,0,
2/13/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
2/13/2016,College Savings,College Savings,CS Maryland,0,,0,0,
2/13/2016,College Savings,College Savings,CS National,0,,0,0,
2/13/2016,II Services and Operations,RIS,RIS,513089,,919,926,
2/13/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
2/13/2016,II Services and Operations,SCS,BRO,0,,0,0,
2/13/2016,II Services and Operations,SCS,PSG,0,,0,0,
2/14/2016,WISE,WISE,WISE Contractual,0,,0,0,
2/14/2016,College Savings,College Savings,CS Alaska,0,,0,0,
2/14/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
2/14/2016,College Savings,College Savings,CS Maryland,0,,0,0,
2/14/2016,College Savings,College Savings,CS National,0,,0,0,
2/14/2016,II Services and Operations,RIS,RIS,0,,1,0,
2/14/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
2/14/2016,II Services and Operations,SCS,BRO,0,,0,0,
2/14/2016,II Services and Operations,SCS,PSG,0,,0,0,
